ScientificName,TaxonID,Date,Latitude,Longitude,Municipality
Emberiza aureola,http://tun.fi/MX.35169,1990-06-17,64.82715,25.311127,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1998-07-18,64.82921,25.3105,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1992-06-21,64.82715,25.311127,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1993-06-13,64.82715,25.311127,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1995-06-10,64.82715,25.311127,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1996-07-06,64.28485,23.89712,Kalajoki
Emberiza aureola,http://tun.fi/MX.35169,1982-07-24,64.285965,23.901348,Kalajoki
Emberiza aureola,http://tun.fi/MX.35169,1998-06-12,64.82715,25.311127,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1984-06-03,63.317894,30.050495,Lieksa
Emberiza aureola,http://tun.fi/MX.35169,1984-06-12,63.307716,30.04571,Lieksa
Emberiza aureola,http://tun.fi/MX.35169,1998-06-18,64.82715,25.311127,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1981-06-25,64.82715,25.311127,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1979-06-11,61.55553,29.563007,Parikkala
Emberiza aureola,http://tun.fi/MX.35169,1981-05-30,61.55553,29.563007,Parikkala
Emberiza aureola,http://tun.fi/MX.35169,1982-06-19,64.82715,25.311127,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1983-06-19,61.689247,29.774532,Parikkala
Emberiza aureola,http://tun.fi/MX.35169,1986-06-14,61.4452,29.371431,RautjÃ¤rvi
Emberiza aureola,http://tun.fi/MX.35169,1997-06-26,64.83,25.306,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1998-06-14,64.82921,25.3105,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1972-06-04,64.9048,25.375198,Oulu
Emberiza aureola,http://tun.fi/MX.35169,1980-08-17,64.285965,23.901348,Kalajoki
Emberiza aureola,http://tun.fi/MX.35169,1981-08-02,64.285965,23.901348,Kalajoki
Emberiza aureola,http://tun.fi/MX.35169,1984-06-28,64.829087,25.311909,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1986-06-15,61.675861,29.716175,Parikkala
Emberiza aureola,http://tun.fi/MX.35169,1987-06-15,61.675861,29.716175,Parikkala
Emberiza aureola,http://tun.fi/MX.35169,1988-06-15,61.675861,29.716175,Parikkala
Emberiza aureola,http://tun.fi/MX.35169,1990-06-15,62.695214,29.07211,Outokumpu
Emberiza aureola,http://tun.fi/MX.35169,1999-06-15,62.695214,29.07211,Outokumpu
Emberiza aureola,http://tun.fi/MX.35169,1987-06-17 [4:40-8:25],62.593868,29.430157,Liperi
Emberiza aureola,http://tun.fi/MX.35169,1975-06-06 [4:15-8:40],62.129153,30.169573,Kitee
Emberiza aureola,http://tun.fi/MX.35169,1953-06-19,64.84669,25.422092,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1992-06-11 [5:50-8:00],64.865274,25.218819,Lumijoki
Emberiza aureola,http://tun.fi/MX.35169,2023-06-26,60.731685,22.092813,MynÃ¤mÃ¤ki
Emberiza aureola,http://tun.fi/MX.35169,1985-06-04,61.68733,29.775337,Parikkala
Emberiza aureola,http://tun.fi/MX.35169,1984-06-16,64.95,25.483333,Oulu
Emberiza aureola,http://tun.fi/MX.35169,1986-07-06 [13],62.614847,29.682313,Joensuu
Emberiza aureola,http://tun.fi/MX.35169,1989-06-06 [16],62.212222,30.610166,TohmajÃ¤rvi
Emberiza aureola,http://tun.fi/MX.35169,1988-06-06 [19],62.212222,30.610166,TohmajÃ¤rvi
Emberiza aureola,http://tun.fi/MX.35169,1987-07-05 [9],62.614847,29.682313,Joensuu
Emberiza aureola,http://tun.fi/MX.35169,1989-08-09 [6],62.614847,29.682313,Joensuu
Emberiza aureola,http://tun.fi/MX.35169,1993-06-09 [10],64.833333,25.333333,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1993-07-19 [6],64.833333,25.333333,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1991-07-27 [5],64.826933,25.308173,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1993-06-12 [10],64.833333,25.333333,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1991-07-28 [5],64.82875,25.310166,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1991-07-28 [5],64.82875,25.310166,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1994-07-20 [6],64.833333,25.333333,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1994-07-14 [10],64.833333,25.316667,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1994-08-18 [6],64.830026,25.343796,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1994-07-25 [5],64.833333,25.333333,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1995-06-19 [7],64.824292,25.312552,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1996-09-01 [11],59.816667,22.9,Hanko
Emberiza aureola,http://tun.fi/MX.35169,1963-07-16,65.0,25.5,Oulu
Emberiza aureola,http://tun.fi/MX.35169,1965-07-09,65.0,25.5,Oulu
Emberiza aureola,http://tun.fi/MX.35169,1963-07-27,65.0,25.5,Oulu
Emberiza aureola,http://tun.fi/MX.35169,1966-06-22,65.0,25.5,Oulu
Emberiza aureola,http://tun.fi/MX.35169,1967-06-06,65.0,25.5,Oulu
Emberiza aureola,http://tun.fi/MX.35169,1963-07-07,65.0,25.5,Oulu
Emberiza aureola,http://tun.fi/MX.35169,1971-06-27,65.0,25.5,Oulu
Emberiza aureola,http://tun.fi/MX.35169,1998-09-01 [20],60.99834,23.845974,HÃ¤meenlinna
Emberiza aureola,http://tun.fi/MX.35169,1998-08-05 [6],64.868031,25.373105,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1978-06-11,61.683333,29.783333,Parikkala
Emberiza aureola,http://tun.fi/MX.35169,1976-06-20,65.933333,29.25,Kuusamo
Emberiza aureola,http://tun.fi/MX.35169,1977-08-31,59.833333,19.933333,Lemland
Emberiza aureola,http://tun.fi/MX.35169,1977-07-18,64.8,24.633333,Siikajoki
Emberiza aureola,http://tun.fi/MX.35169,1982-08-17 [10],60.75,23.6,Tammela
Emberiza aureola,http://tun.fi/MX.35169,1994-06-29 [6],64.833333,25.333333,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1980-06-07 [17],64.95,25.483333,Oulu
Emberiza aureola,http://tun.fi/MX.35169,1995-06-19 [8],64.824292,25.312552,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1966-06-13,65.0,25.5,Oulu
Emberiza aureola,http://tun.fi/MX.35169,1986-06-15,61.547559,29.576553,Parikkala
Emberiza aureola,http://tun.fi/MX.35169,1965-06-15,64.983333,25.45,Oulu
Emberiza aureola,http://tun.fi/MX.35169,1989-06-06 [16],62.213068,30.612192,TohmajÃ¤rvi
Emberiza aureola,http://tun.fi/MX.35169,1993-07-30 [5],64.833333,25.333333,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1985-08-03 [4],62.614847,29.682313,Joensuu
Emberiza aureola,http://tun.fi/MX.35169,1976-08-24,59.833333,19.933333,Lemland
Emberiza aureola,http://tun.fi/MX.35169,1992-06-18 [7],64.833333,25.333333,Liminka
Emberiza aureola,http://tun.fi/MX.35169,2000-08-11 [5],64.868031,25.373105,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1964-07-18,65.0,25.5,Oulu
Emberiza aureola,http://tun.fi/MX.35169,1988-06-06 [18],62.212222,30.610166,TohmajÃ¤rvi
Emberiza aureola,http://tun.fi/MX.35169,1969-08-06,64.800003,24.6,Siikajoki
Emberiza aureola,http://tun.fi/MX.35169,1979-06-13,61.683334,29.766666,Parikkala
Emberiza aureola,http://tun.fi/MX.35169,1964-07-05,65.0,25.5,Oulu
Emberiza aureola,http://tun.fi/MX.35169,1968-07-20,65.0,25.5,Oulu
Emberiza aureola,http://tun.fi/MX.35169,1973-06-22,65.0,25.5,Oulu
Emberiza aureola,http://tun.fi/MX.35169,1965-06-15,65.0,25.5,Oulu
Emberiza aureola,http://tun.fi/MX.35169,1964-07-02,65.0,25.5,Oulu
Emberiza aureola,http://tun.fi/MX.35169,1965-08-01,65.0,25.5,Oulu
Emberiza aureola,http://tun.fi/MX.35169,1969-07-17,65.0,25.5,Oulu
Emberiza aureola,http://tun.fi/MX.35169,1969-08-06,65.0,25.5,Oulu
Emberiza aureola,http://tun.fi/MX.35169,1992-07-27 [8],64.833333,25.333333,Liminka
Emberiza aureola,http://tun.fi/MX.35169,1993-08-08,64.25,28.95,Kuhmo
Emberiza aureola,http://tun.fi/MX.35169,1984-06-13 [19],61.55,21.666667,Pori
