 Country,Collection,Species,WGS84 N,WGS84 E,Time
,"Lajitietokeskus/FinBIF - Notebook, general observations",Siberian Jay — Perisoreus infaustus,68.927659,25.75004,2023-01-01 - 2023-12-31
,Monitoring scheme of birds and mammals that are visiting bird feeders during winter,Siberian Jay — Perisoreus infaustus,68.891262,23.263131,2023-01-01 - 2023-12-31
,Monitoring scheme of birds and mammals that are visiting bird feeders during winter,Siberian Jay — Perisoreus infaustus,67.99657,23.408052,2023-01-01 - 2023-12-31
,Monitoring scheme of birds and mammals that are visiting bird feeders during winter,Siberian Jay — Perisoreus infaustus,67.134975,28.14874,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,66.238372,25.884538,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,62.624008,29.920037,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,66.238429,28.107814,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,67.99657,23.408052,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,62.624008,29.920037,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,62.624008,29.920037,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,64.41573,30.109204,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,65.341767,28.069958,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,67.99657,23.408052,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.031344,25.798633,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.031344,25.798633,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.031344,25.798633,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,67.99657,23.408052,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,65.341767,28.069958,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,63.548087,28.002209,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,66.238429,28.107814,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,66.238429,28.107814,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,68.031344,25.798633,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,66.238429,28.107814,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,64.415571,23.883692,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,66.206666,30.32803,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,66.238429,28.107814,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,66.238429,28.107814,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,67.101644,23.541354,2023-01-01 - 2023-12-31
,Tiira.fi: The Fourth Breeding Bird Atlas of Finland (2022-2025) data,Siberian Jay — Perisoreus infaustus,67.134975,28.14874,2023-01-01 - 2023-12-31
