Country,Collection,WGS84 N,WGS84 E,Species,Time
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.162963,28.683186,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05 [13:40-14:30]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.162963,28.683186,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05 [13:40-14:30]
Suomi,Syke - Butterflies in Finnish agricultural landscapes,61.162963,28.683186,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05 [13:40-14:30]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",61.114068,23.343202,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05 [11:55-13:40]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",61.114068,23.343202,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05 [11:55-13:40]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",61.114068,23.343202,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05 [11:55-13:40]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",60.994452,24.524329,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05 [13:45-15:05]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",60.994452,24.524329,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05 [13:45-15:05]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",60.994452,24.524329,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05 [13:45-15:05]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",60.994452,24.524329,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05 [13:45-15:05]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",61.594407,24.521822,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05 [14:30-16:05]
Suomi,"Syke - Butterflies in Finnish agricultural landscapes, old transects",61.594407,24.521822,sitruunaperhonen (fi) — Gonepteryx rhamni,2004-09-05 [14:30-16:05]
