"species","longitude","latitude"
"Ranunculus glacialis",21.007801,69.221428
"Ranunculus glacialis",21.007841,69.222113
"Ranunculus glacialis",21.009555,69.222515
"Ranunculus glacialis",21.017216,69.218511
"Ranunculus glacialis",21.119244,69.106347
"Ranunculus glacialis",21.119729,69.106607
"Ranunculus glacialis",20.811705,69.080906
"Ranunculus glacialis",20.813938,69.080762
"Ranunculus glacialis",21.360616,69.273426
"Ranunculus glacialis",20.854728,69.04685
"Ranunculus glacialis",20.848777,69.047699
"Ranunculus glacialis",20.848243,69.048076
"Ranunculus glacialis",20.846681,69.048173
"Ranunculus glacialis",20.845018,69.05104
"Ranunculus glacialis",20.857054,69.044484
"Ranunculus glacialis",20.854865,69.045468
"Ranunculus glacialis",20.844835,69.048776
"Ranunculus glacialis",20.72415,69.11378
"Ranunculus glacialis",20.820734,69.049621
"Ranunculus glacialis",20.822813,69.04912
"Ranunculus glacialis",21.161722,69.110205
"Ranunculus glacialis",20.813543,69.053651
"Ranunculus glacialis",20.827911,69.049168
"Ranunculus glacialis",20.831805,69.045862
"Ranunculus glacialis",20.818832,69.053014
"Ranunculus glacialis",20.816059,69.053211
"Ranunculus glacialis",21.119563,69.10659
"Ranunculus glacialis",21.295137,69.175001
"Ranunculus glacialis",21.224093,69.233184
"Ranunculus glacialis",21.2167,69.186259
"Ranunculus glacialis",21.149554,69.255092
"Ranunculus glacialis",21.143936,69.25924
"Ranunculus glacialis",21.227396,69.225355
"Ranunculus glacialis",21.197237,69.248116
"Ranunculus glacialis",21.196056,69.248356
"Ranunculus glacialis",21.278365,69.019201
"Ranunculus glacialis",21.281784,69.018901
"Ranunculus glacialis",21.281611,69.018797
"Ranunculus glacialis",21.282965,69.019382
"Ranunculus glacialis",21.148248,69.194717
"Ranunculus glacialis",21.281813,69.018892
"Ranunculus glacialis",21.282964,69.019291
"Ranunculus glacialis",21.281813,69.018892
"Ranunculus glacialis",20.837177,69.080638
"Ranunculus glacialis",20.853755,69.049508
"Ranunculus glacialis",20.853809,69.049473
"Ranunculus glacialis",21.409992,69.267708
"Ranunculus glacialis",21.384812,69.266889
"Ranunculus glacialis",21.412296,69.258786
"Ranunculus glacialis",21.460358,69.269334
"Ranunculus glacialis",21.435174,69.268523
"Ranunculus glacialis",21.299883,69.300092
"Ranunculus glacialis",21.311251,69.274451
"Ranunculus glacialis",21.405378,69.285551
"Ranunculus glacialis",21.453496,69.296101
"Ranunculus glacialis",21.382496,69.27581
"Ranunculus glacialis",21.43058,69.286367
"Ranunculus glacialis",21.384812,69.266889
"Ranunculus glacialis",21.458073,69.278256
"Ranunculus glacialis",21.380177,69.284732
"Ranunculus glacialis",21.304588,69.282252
"Ranunculus glacialis",21.306936,69.273332
"Ranunculus glacialis",21.334457,69.265241
"Ranunculus glacialis",21.35785,69.268637
"Ranunculus glacialis",21.359634,69.266066
"Ranunculus glacialis",21.357307,69.274988
"Ranunculus glacialis",20.687226,69.079585
"Ranunculus glacialis",20.666372,69.091337
"Ranunculus glacialis",20.645568,69.092358
"Ranunculus glacialis",20.666636,69.08304
"Ranunculus glacialis",20.685312,69.073127
"Ranunculus glacialis",21.342573,69.28567
"Ranunculus glacialis",20.663247,69.073437
"Ranunculus glacialis",21.32481,69.285555
"Ranunculus glacialis",21.069143,69.121303
"Ranunculus glacialis",21.094142,69.122166
"Ranunculus glacialis",21.121548,69.114109
"Ranunculus glacialis",21.096557,69.11325
"Ranunculus glacialis",21.071568,69.112386
"Ranunculus glacialis",21.071568,69.112386
"Ranunculus glacialis",21.153713,69.088212
"Ranunculus glacialis",21.198905,69.107748
"Ranunculus glacialis",21.324825,69.285573
"Ranunculus glacialis",21.146541,69.114966
"Ranunculus glacialis",20.670556,69.091348
"Ranunculus glacialis",20.669167,69.091179
"Ranunculus glacialis",20.658063,69.087641
"Ranunculus glacialis",20.658691,69.08652
"Ranunculus glacialis",20.689907,69.076675
"Ranunculus glacialis",20.690085,69.077628
"Ranunculus glacialis",20.688293,69.079382
"Ranunculus glacialis",20.748503,69.059254
"Ranunculus glacialis",21.161722,69.110205
"Ranunculus glacialis",21.156664,69.111194
"Ranunculus glacialis",21.487738,69.196922
"Ranunculus glacialis",21.41155,69.227636
"Ranunculus glacialis",20.838631,69.082806
"Ranunculus glacialis",21.220351,69.10302
"Ranunculus glacialis",20.812302,69.081086
"Ranunculus glacialis",20.91097,69.065652
"Ranunculus glacialis",20.890138,69.064585
"Ranunculus glacialis",20.88041,69.073963
"Ranunculus glacialis",20.901386,69.073912
"Ranunculus glacialis",20.870549,69.071304
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",NA,NA
"Ranunculus glacialis",21.292354,69.277178
"Ranunculus glacialis",21.218907,69.102855
"Ranunculus glacialis",20.840572,69.087466
"Ranunculus glacialis",20.748213,69.058946
"Ranunculus glacialis",20.866234,69.044409
"Ranunculus glacialis",21.243264,69.226225
"Ranunculus glacialis",21.218139,69.225382
"Ranunculus glacialis",21.167896,69.223686
"Ranunculus glacialis",21.165495,69.232604
"Ranunculus glacialis",21.170293,69.214768
"Ranunculus glacialis",21.126161,69.20465
"Ranunculus glacialis",21.122495,69.204141
"Ranunculus glacialis",21.149995,69.19608
"Ranunculus glacialis",21.124909,69.195223
"Ranunculus glacialis",21.152397,69.187162
"Ranunculus glacialis",21.245632,69.217305
"Ranunculus glacialis",21.220516,69.216464
"Ranunculus glacialis",20.850364,69.046036
"Ranunculus glacialis",21.044768,69.210466
"Ranunculus glacialis",21.069873,69.211334
"Ranunculus glacialis",21.145185,69.213915
"Ranunculus glacialis",21.120079,69.213058
"Ranunculus glacialis",21.142777,69.222832
"Ranunculus glacialis",21.092547,69.221114
"Ranunculus glacialis",20.99458,69.20872
"Ranunculus glacialis",20.99211,69.217635
"Ranunculus glacialis",21.017216,69.218511
"Ranunculus glacialis",21.019675,69.209595
"Ranunculus glacialis",21.110406,69.206218
"Ranunculus glacialis",21.072309,69.202417
"Ranunculus glacialis",21.149995,69.19608
"Ranunculus glacialis",21.097401,69.203281
"Ranunculus glacialis",21.122495,69.204141
"Ranunculus glacialis",21.094975,69.212198
