"species","longitude","latitude"
"Lepus europaeus",23.858035,60.263764
"Sciurus vulgaris",21.838214,60.799618
"Sciurus vulgaris",29.167774,65.968941
"Capreolus capreolus",21.644157,60.897695
"Capreolus capreolus",25.126537,60.277369
"Sciurus vulgaris",25.126537,60.277369
"Lepus europaeus",25.126537,60.277369
"Sciurus vulgaris",24.93284,60.23236
"Sciurus vulgaris",24.9324,60.23136
"Sciurus vulgaris",25.669138,66.526179
"Sciurus vulgaris",24.975759,60.263122
"Odocoileus virginianus",24.975759,60.263122
"Sciurus vulgaris",23.041441,61.436803
"Sciurus vulgaris",29.984317,62.450154
"Pteromys volans",25.943273,62.469066
"Pteromys volans",25.943198,62.469067
"Pteromys volans",25.944108,62.469178
"Pteromys volans",25.944226,62.469043
"Pteromys volans",25.9433,62.469119
"Pteromys volans",25.941377,62.468612
"Pteromys volans",23.47068,61.04466
"Rattus norvegicus",24.94291,60.17647
"Sciurus vulgaris",24.446175,66.659135
"Nyctereutes procyonoides",24.914092,60.288142
"Nyctereutes procyonoides",22.782931,60.585027
"Capreolus capreolus",24.484519,65.758329
"Sciurus vulgaris",24.484519,65.758329
"Mustela erminea",24.484519,65.758329
"Myodes glareolus",24.484519,65.758329
"Odocoileus virginianus",21.496759,61.07495
"Halichoerus grypus",22.200511,60.427959
"Capreolus capreolus",23.230764,61.483967
"Sciurus vulgaris",23.230764,61.483967
"Sciurus vulgaris",24.182255,65.818129
"Sciurus vulgaris",27.418636,66.710471
"Sciurus vulgaris",24.556971,65.744127
"Sciurus vulgaris",25.702069,66.491378
"Sciurus vulgaris",26.108306,60.639932
"Sciurus vulgaris",25.629871,60.985604
"Lutra lutra",24.620373,62.217958
"Martes martes",23.476264,62.381089
"Arvicola amphibius",22.181998,60.417565
"Sciurus vulgaris",28.766901,61.159255
"Sciurus vulgaris",25.108159,64.913939
"Halichoerus grypus",25.108159,64.913939
"Sciurus vulgaris",22.222653,60.415666
"Lepus europaeus",24.9473,60.17478
"Rattus norvegicus",28.11587,61.05103
"Sciurus vulgaris",27.581918,63.115879
"Neovison vison",26.79523,62.121722
"Sciurus vulgaris",22.888994,60.947532
"Rangifer tarandus fennicus",26.690884,64.447912
"Sciurus vulgaris",26.174913,60.61725
"Sciurus vulgaris",28.481899,62.983795
"Halichoerus grypus",25.216348,64.971625
"Sciurus vulgaris",24.491191,65.78623
"Capreolus capreolus",24.149452,61.373506
"Capreolus capreolus",24.813116,60.640761
"Sciurus vulgaris",27.309399,61.682828
"Capreolus capreolus",22.319558,60.625729
"Sciurus vulgaris",28.590184,60.972081
"Sciurus vulgaris",21.477673,61.065477
"Sciurus vulgaris",21.57245,60.987865
"Apodemus flavicollis",22.790209,62.750846
"Sciurus vulgaris",27.432041,63.293899
"Sciurus vulgaris",25.770744,65.131397
"Sciurus vulgaris",21.457174,60.955369
"Capreolus capreolus",24.88332,60.17731
"Capreolus capreolus",24.99068,60.28199
"Sciurus vulgaris",25.112194,60.269111
"Lepus europaeus",25.112194,60.269111
"Capreolus capreolus",22.232874,60.203406
"Vulpes vulpes",23.928539,60.177474
"Capreolus capreolus",23.928539,60.177474
"Dama dama",23.928539,60.177474
"Capreolus capreolus",23.806305,61.127282
"Lepus europaeus",23.806305,61.127282
"Odocoileus virginianus",23.806305,61.127282
"Sciurus vulgaris",24.12653,60.266807
"Lepus europaeus",24.12653,60.266807
"Sciurus vulgaris",27.542755,62.846269
"Lutra lutra",24.3,62.1
"Sciurus vulgaris",27.3,61.7
"Arvicolinae",24.81135,60.18379
"Vulpes vulpes",24.99014,60.18034
"Vulpes vulpes",24.99615,60.18277
"Nyctereutes procyonoides",24.91336,60.303588
"Neovison vison",28.507942,61.066366
"Nyctereutes procyonoides",25.117571,60.297485
"Capreolus capreolus",21.966096,61.225145
"Sciurus vulgaris",21.966096,61.225145
"Vulpes vulpes",21.966096,61.225145
"Lepus europaeus",23.323592,60.740892
"Capreolus capreolus",21.96164,60.870345
"Sciurus vulgaris",21.96164,60.870345
"Mustela nivalis",24.685702,62.271872
"Lutra lutra",24.685702,62.271872
"Lepus timidus",25.972485,61.55238
"Capreolus capreolus",22.160724,60.472708
"Sciurus vulgaris",22.160724,60.472708
"Sciurus vulgaris",25.002157,60.188967
"Vulpes vulpes",25.002157,60.188967
"Sciurus vulgaris",24.483764,60.254738
"Vulpes vulpes",25.009922,60.214598
"Sciurus vulgaris",24.612195,60.170223
"Vulpes vulpes",24.612195,60.170223
"Sciurus vulgaris",24.036572,60.235495
"Capreolus capreolus",25.715618,60.911336
"Sciurus vulgaris",22.117486,60.417388
"Pteromys",23.709915,61.499587
"Lutra lutra",25.17325,60.210128
"Capreolus capreolus",25.17325,60.210128
"Sciurus vulgaris",25.17325,60.210128
"Oryctolagus cuniculus",25.17325,60.210128
"Capreolus capreolus",23.824954,62.234096
"Sciurus vulgaris",24.712321,60.167463
"Lepus europaeus",24.712321,60.167463
"Sciurus vulgaris",21.505198,61.13126
"Vulpes vulpes",21.505198,61.13126
"Sciurus vulgaris",25.730087,62.619692
"Sciurus vulgaris",24.229678,60.52985
"Phocidae",22.200483,60.427975
"Sciurus vulgaris",25.660884,60.9865
"Sciurus vulgaris",24.178356,62.017654
"Lutra lutra",24.178356,62.017654
"Vulpes vulpes",24.54038,62.295007
"Capreolus capreolus",25.727366,60.483892
"Sciurus vulgaris",25.727366,60.483892
"Sciurus vulgaris",22.285325,60.476781
"Sciurus vulgaris",22.927253,61.356678
"Rangifer tarandus fennicus",24.04973,63.835456
"Rangifer tarandus fennicus",23.67574,63.557932
"Sciurus vulgaris",22.838963,62.767341
"Sciurus vulgaris",22.021216,60.475998
"Sciurus vulgaris",25.801432,66.525927
"Sciurus vulgaris",24.885126,60.18235
"Sciurus vulgaris",25.321056,64.816198
"Capreolus capreolus",27.291247,65.95231
"Sciurus vulgaris",24.270164,65.815179
"Sciurus vulgaris",25.338563,65.120196
"Halichoerus grypus",25.338563,65.120196
"Capreolus capreolus",22.497216,60.36757
"Sciurus vulgaris",27.3,61.7
"Sciurus vulgaris",25.2536,64.82556
"Vulpes vulpes",28.67773,61.08669
"Vulpes vulpes",22.47532,60.91353
"Sciurus vulgaris",24.98344,60.28189
"Nyctereutes procyonoides",24.898699,60.299926
"Nyctereutes procyonoides",24.962053,60.298614
"Capreolus capreolus",22.834709,60.9529
"Sciurus vulgaris",22.834709,60.9529
"Lepus europaeus",22.834709,60.9529
"Lepus europaeus",25.018642,60.110161
"Lepus timidus",22.178061,60.562793
"Lepus timidus",22.184262,60.562553
"Capreolus capreolus",24.661542,65.681611
"Sciurus vulgaris",24.661542,65.681611
"Sciurus vulgaris",29.074818,63.623604
"Lutra lutra",29.074818,63.623604
"Capreolus capreolus",22.419405,60.391317
"Sciurus vulgaris",22.419405,60.391317
"Rattus norvegicus",24.911533,60.162859
"Capreolus capreolus",23.11146,63.852795
"Capreolus capreolus",21.840298,60.666542
"Sciurus vulgaris",22.392491,60.454825
"Capreolus capreolus",24.377969,60.250482
"Sciurus vulgaris",24.377969,60.250482
"Odocoileus virginianus",24.377969,60.250482
"Sciurus vulgaris",21.52945,61.122737
"Lutra lutra",25.988819,60.370373
"Neovison vison",27.241748,61.672123
"Capreolus capreolus",23.11121,63.85141
"Lutra lutra",23.1,63.9
"Sciurus vulgaris",25.07207,60.24206
"Alces alces",30.18611,61.9387
"Castor canadensis",30.18492,61.93612
"Rodentia",27.3,61.7
"Rattus norvegicus",24.9,60.1
"Rattus norvegicus",24.9,60.1
"Nyctereutes procyonoides",21.245964,63.356714
"Capreolus capreolus",25.298625,60.340475
"Sciurus vulgaris",24.622165,65.746516
"Capreolus capreolus",27.180489,63.231462
"Sciurus vulgaris",27.180489,63.231462
"Sciurus vulgaris",27.660644,62.915712
"Lutrinae",26.386472,68.43804
"Sciurus vulgaris",24.649733,65.731831
"Myodes glareolus",24.649733,65.731831
"Neovison vison",24.649733,65.731831
"Sciurus vulgaris",21.529752,61.122821
"Lutra lutra",24.955078,63.933826
"Capreolus capreolus",23.11049,63.85212
"Capreolus capreolus",23.11114,63.85156
"Lepus europaeus",24.98318,60.17639
"Lutra lutra",23.1,63.9
"Sciurus vulgaris",30.19598,61.94198
"Neovison vison",29.937242,63.202122
"Nyctereutes procyonoides",24.490701,60.146795
"Neovison vison",29.971849,62.662455
"Neovison vison",23.867601,61.68316
"Nyctereutes procyonoides",24.322688,61.397112
"Neovison vison",27.362613,61.718972
"Pteromys volans",24.967043,60.203886
"Vulpes vulpes",21.681762,61.215868
"Nyctereutes procyonoides",25.093277,60.222151
"Meles meles",25.084518,60.227108
"Sciurus vulgaris",29.414605,65.999475
"Myodes glareolus",29.414605,65.999475
"Murinae",21.753295,62.485138
"Lepus europaeus",21.753295,62.485138
"Sciurus vulgaris",24.48064,65.818067
"Vulpes vulpes",22.30063,60.46611
"Nyctereutes procyonoides",25.796734,62.563768
"Neovison vison",25.287883,62.563584
"Pteromys volans",24.791205,60.230331
"Lepus timidus",22.182519,60.557513
"Sciurus vulgaris",25.75378,62.25218
"Neovison vison",29.179724,63.827013
"Apodemus flavicollis",23.47041,61.04111
"Halichoerus grypus",24.98462,60.1838
"Alces alces",30.22207,61.94202
"Sciurus vulgaris",29.32737,63.6826
"Sciurus vulgaris",24.633575,65.801477
"Vulpes vulpes",24.973912,60.206914
"Sciurus vulgaris",24.852971,60.233602
"Sciurus vulgaris",21.52945,61.122737
"Sciurus vulgaris",25.018642,60.110161
"Sciurus vulgaris",25.456907,60.357207
"Vulpes vulpes",25.018642,60.110161
"Vulpes vulpes",25.53156,64.90032
"Capreolus capreolus",24.93448,60.28611
"Nyctereutes procyonoides",21.83558,62.89344
"Nyctereutes procyonoides",27.732734,62.879856
"Sciurus vulgaris",24.707127,65.734936
"Neovison vison",24.707127,65.734936
"Capreolus capreolus",24.82868,60.24639
"Lepus europaeus",24.94902,60.18389
"Sciurus vulgaris",25.11962,60.24048
"Nyctereutes procyonoides",27.829556,63.045616
"Myotis daubentonii",22.422213,60.017573
"Sciurus vulgaris",24.846913,60.232816
"Sciurus vulgaris",24.858282,60.226336
"Vulpes vulpes",24.910243,60.153148
"Sciurus vulgaris",30.008052,65.837368
"Sciurus vulgaris",24.443608,60.138701
"Sciurus vulgaris",25.018642,60.110161
"Martes martes",23.479147,62.376349
"Mammalia",25.54508,62.28981
"Nyctereutes procyonoides",25.83611,62.224749
"Nyctereutes procyonoides",24.818579,60.21351
"Nyctereutes procyonoides",24.908594,60.328311
"Lutra lutra",29.835582,62.76042
"Nyctereutes procyonoides",25.018642,60.110161
"Nyctereutes procyonoides",24.934685,60.241475
"Vulpes vulpes",24.438804,60.130894
"Sciurus vulgaris",27.28489,61.50651
"Sciurus vulgaris",22.200483,60.427963
"Sciurus vulgaris",24.88877,60.231353
"Nyctereutes procyonoides",25.154621,60.530687
"Nyctereutes procyonoides",24.772701,60.207268
"Mustela erminea",27.50855,67.08973
"Sciurus vulgaris",21.83411,62.89392
"Rattus norvegicus",24.898145,60.231264
"Nyctereutes procyonoides",24.352737,61.559842
"Nyctereutes procyonoides",23.1475,61.820578
"Nyctereutes procyonoides",24.926848,60.399194
"Nyctereutes procyonoides",23.649141,60.179021
"Nyctereutes procyonoides",26.012118,62.211283
"Neovison vison",28.601765,64.190337
"Sciurus vulgaris",26.0177,64.81024
"Nyctereutes procyonoides",23.387347,59.928587
"Vulpes vulpes",21.582612,60.994661
"Rattus norvegicus",24.95649,60.17336
"Nyctereutes procyonoides",24.85229,60.175494
"Sciurus vulgaris",24.9463,60.17585
"Odocoileus virginianus",21.87275,61.59699
"Sciurus vulgaris",22.200451,60.42794
"Martes martes",22.895209,62.114732
"Capreolus capreolus",24.593865,62.222476
"Pteromys volans",24.438466,61.778126
"Pteromys volans",25.726712,62.181597
"Odocoileus virginianus",24.81617,60.20102
"Vulpes vulpes",24.81594,60.20075
"Pteromys volans",30.35329,62.649108
"Odocoileus virginianus",24.81617,60.20102
"Odocoileus virginianus",24.81617,60.20102
"Rattus norvegicus",24.95671,60.17333
"Capreolus capreolus",24.9525,60.2711
"Odocoileus virginianus",24.9525,60.2711
"Sciurus vulgaris",25.00004,60.23427
"Vulpes vulpes",27.19721,63.6098
"Sciurus vulgaris",27.17241,63.64646
"Lutra lutra",25.148724,60.184558
"Odocoileus virginianus",25.176851,60.546228
"Sciurus vulgaris",21.529752,61.122821
"Sciurus vulgaris",24.907552,60.229625
"Vulpes vulpes",24.7489,60.1615
"Nyctereutes procyonoides",27.770088,62.877422
"Neovison vison",25.94142,61.014633
"Neovison vison",28.60191,64.190336
"Ondatra zibethicus",28.527582,64.180639
"Rattus norvegicus",24.93117,60.18075
"Rattus norvegicus",24.95673,60.17335
"Rattus norvegicus",24.95268,60.18418
"Sus scrofa",27.518572,60.592344
"Soricidae",23.47041,61.04111
"Vulpes vulpes",24.999805,60.21238
"Sciurus vulgaris",21.529658,61.122719
"Rattus norvegicus",24.9499,60.18613
"Lutra lutra",21.3,62.1
"Nyctereutes procyonoides",25.202464,60.541183
"Nyctereutes procyonoides",24.915318,60.653436
"Nyctereutes procyonoides",23.945349,61.626512
"Pteromys volans",24.812834,60.188858
"Capreolus capreolus",25.292812,64.821513
"Capreolus capreolus",24.788267,62.19954
"Sciurus vulgaris",25.010535,60.217011
"Sciurus vulgaris",25.024061,60.211824
"Rattus norvegicus",24.94105,60.17717
"Lutra lutra",21.29638,62.170123
"Lutra lutra",21.260602,62.032054
"Capreolus capreolus",21.498541,60.964457
"Capreolus capreolus",21.424622,60.965526
"Odocoileus virginianus",21.47209,60.953639
"Odocoileus virginianus",21.424622,60.965526
"Capreolus capreolus",24.9,60.3
"Sciurus vulgaris",24.884204,60.234902
"Rangifer tarandus",25.226244,60.71568
"Lutra lutra",21.304408,62.177471
"Vulpes vulpes",25.5293,65.02867
"Mammalia",25.15385,60.31037
"Pteromys volans",24.720795,60.131924
"Erinaceus europaeus",25.50049,65.0156
"Erinaceus europaeus",25.49972,65.01547
"Vulpes vulpes",25.03303,60.21791
"Vulpes vulpes",28.90352,61.4945
"Erinaceus europaeus",23.102,60.397
"",28.48274,65.6784
"Capreolus capreolus",25.17805,60.19546
"Nyctereutes procyonoides",24.858822,60.154892
"Odocoileus virginianus",25.110351,60.262365
"Sciurus vulgaris",25.485321,65.020167
"Odocoileus virginianus",25.022731,60.216217
"Capreolus capreolus",22.256179,60.335173
"Lepus europaeus",22.256249,60.334835
"Vulpes vulpes",25.651416,66.485422
"Odocoileus virginianus",21.554129,61.090307
"Sciurus vulgaris",22.200565,60.427967
"Lutra lutra",21.7,61.7
"Neovison vison",26.278408,62.38031
"Alces alces",28.67804,61.0867
"Nyctereutes procyonoides",24.998103,60.221563
"Nyctereutes procyonoides",27.793976,62.896346
"Nyctereutes procyonoides",25.709474,61.505864
"Nyctereutes procyonoides",25.014769,60.335023
"Nyctereutes procyonoides",24.994014,60.329583
"Neovison vison",29.394815,63.969303
"Neovison vison",25.725764,66.509561
"Pteromys volans",25.817428,60.975631
"Neovison vison",25.550427,65.013343
"Capreolus capreolus",24.622999,62.304229
"Vulpes vulpes",24.904773,60.233374
"Vulpes vulpes",24.891738,60.208835
"Vulpes vulpes",25.002334,60.214152
"Neovison vison",24.172669,63.703072
"Neovison vison",28.334616,61.096562
"Vulpes vulpes",25.160019,60.208052
"Lutra lutra",23.194353,68.205474
"Rattus norvegicus",24.95144,60.17322
"Meles meles",25.014666,60.193719
"Capreolus capreolus",24.63498,62.218891
"Vulpes vulpes",24.623248,62.224823
"Sciurus vulgaris",25.018642,60.110161
"Neovison vison",28.67474,64.173325
"Sciurus vulgaris",25.02069,60.23261
"Sciurus vulgaris",29.74771,62.60264
"Nyctereutes procyonoides",25.71783,60.412651
"Odocoileus virginianus",28.91046,64.067634
